frequent_item_set	support
('PT_8', 'PCTD_wood frame (5)', 'PCT_5.0', 'P_0.0')	0.286
('PT_8', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0')	0.286
('PCTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.286
('PT_8', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.286
('P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.285
('ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)')	0.285
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)')	0.285
('PCT_5.0', 'ECT_5.0', 'P_0.0')	0.285
('ECT_5.0', 'ECTD_wood frame (5)', 'PCT_5.0', 'P_0.0')	0.285
('ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PCT_5.0', 'P_0.0')	0.285
('ECT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'P_0.0')	0.285
('ECT_5.0', 'PCTD_wood frame (5)', 'PCT_5.0', 'P_0.0')	0.285
('ECT_5.0', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PCT_5.0', 'P_0.0')	0.285
('P_0.0', 'ECTD_wood frame (5)', 'PT_8')	0.285
('PT_8', 'P_0.0', 'ECT_5.0')	0.285
('PTD_otc alterations permit', 'ECT_5.0', 'P_0.0')	0.285
('PTD_otc alterations permit', 'P_0.0', 'ECTD_wood frame (5)')	0.285
('PT_8', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0')	0.285
('PT_8', 'ECTD_wood frame (5)', 'P_0.0', 'ECT_5.0')	0.285
('PT_8', 'PTD_otc alterations permit', 'P_0.0', 'ECT_5.0')	0.285
('ECT_5.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0')	0.285
('PT_8', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0', 'ECT_5.0')	0.285
('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'P_0.0')	0.284
('ECT_5.0', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0')	0.284
('ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.284
('ECT_5.0', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.284
('ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0')	0.284
