rule	support	confidence	lift
('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.508	1.000	1.969
('ECT_5.0', 'PT_8', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.508	1.000	1.969
('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.508	1.000	1.969
('PCT_5.0', 'PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508	1.000	1.969
('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECT_5.0')	0.508	1.000	1.969
('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.508	1.000	1.969
('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8', 'PCTD_wood frame (5)')	0.508	1.000	1.969
('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508	1.000	1.969
('P_2.0', 'PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.223	1.000	1.969
('ECT_5.0', 'P_2.0', 'PT_8', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.223	1.000	1.969
('PCT_5.0', 'P_2.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.223	1.000	1.969
('PCT_5.0', 'P_2.0', 'PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.223	1.000	1.969
('PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECT_5.0')	0.223	1.000	1.969
('PTD_otc alterations permit', 'P_2.0', 'ECT_5.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.223	1.000	1.969
('PCT_5.0', 'PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8', 'PCTD_wood frame (5)')	0.223	1.000	1.969
('PCT_5.0', 'PTD_otc alterations permit', 'P_2.0', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.223	1.000	1.969
('PTD_otc alterations permit', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.284	1.000	1.969
('PT_8', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.284	1.000	1.969
('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0', 'P_0.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	1.000	1.969
('PCT_5.0', 'ECT_5.0', 'P_0.0', 'PT_8') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	1.000	1.969
('PTD_otc alterations permit', 'P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'ECT_5.0', 'PT_8')	0.284	1.000	1.969
('PT_8', 'P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.284	1.000	1.969
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	1.000	1.969
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)', 'PT_8') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	1.000	1.969
('P_2.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.223	0.999	1.968
('P_2.0', 'PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.223	0.999	1.968
('PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECT_5.0')	0.223	0.999	1.968
('PTD_otc alterations permit', 'P_2.0', 'ECT_5.0') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.223	0.999	1.968
('PTD_otc alterations permit', 'P_2.0', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.223	0.999	1.968
('P_2.0', 'ECT_5.0', 'PT_8') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.223	0.999	1.968
('PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0', 'PCTD_wood frame (5)')	0.223	0.999	1.968
('P_2.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.223	0.999	1.968
('P_2.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0', 'PCTD_wood frame (5)')	0.223	0.999	1.968
('P_2.0', 'PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.223	0.999	1.968
('PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)') ==> ('ECT_5.0', 'PCT_5.0', 'PT_8', 'PCTD_wood frame (5)')	0.223	0.999	1.968
('PTD_otc alterations permit', 'P_2.0', 'ECT_5.0') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.223	0.999	1.968
('PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.508	1.000	1.967
('PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.508	1.000	1.967
('PTD_otc alterations permit', 'ECTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.508	1.000	1.967
('PTD_otc alterations permit', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)')	0.508	1.000	1.967
('PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.508	0.999	1.967
('PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.508	0.999	1.967
('PTD_otc alterations permit', 'ECTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECT_5.0')	0.508	0.999	1.967
('PTD_otc alterations permit', 'ECT_5.0') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.508	0.999	1.967
('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.508	1.000	1.967
('PCT_5.0', 'PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.508	1.000	1.967
('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.508	1.000	1.967
('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)')	0.508	1.000	1.967
('PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.508	0.999	1.967
('PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508	0.999	1.967
('PTD_otc alterations permit', 'ECTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8', 'PCTD_wood frame (5)')	0.508	0.999	1.967
('PTD_otc alterations permit', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508	0.999	1.967
('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.508	1.000	1.967
('ECT_5.0', 'PT_8', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.508	1.000	1.967
('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.508	1.000	1.967
('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.508	1.000	1.967
('PT_8', 'ECTD_wood frame (5)', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.285	1.000	1.967
('PT_8', 'P_0.0', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.285	1.000	1.967
('PTD_otc alterations permit', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.285	1.000	1.967
('PTD_otc alterations permit', 'ECT_5.0', 'P_0.0') ==> ('PT_8', 'ECTD_wood frame (5)')	0.285	1.000	1.967
('PTD_otc alterations permit', 'P_2.0', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)')	0.223	1.000	1.967
('P_2.0', 'ECT_5.0', 'PT_8') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.223	1.000	1.967
('PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8')	0.223	1.000	1.967
('P_2.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.223	1.000	1.967
('PTD_otc alterations permit', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.284	1.000	1.967
('PT_8', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.284	1.000	1.967
('PTD_otc alterations permit', 'P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8')	0.284	1.000	1.967
('PT_8', 'P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.284	1.000	1.967
('PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0', 'PCTD_wood frame (5)')	0.508	0.999	1.967
('PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508	0.999	1.967
('PTD_otc alterations permit', 'ECTD_wood frame (5)') ==> ('ECT_5.0', 'PCT_5.0', 'PT_8', 'PCTD_wood frame (5)')	0.508	0.999	1.967
('PTD_otc alterations permit', 'ECT_5.0') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.508	0.999	1.967
('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.508	1.000	1.967
('ECT_5.0', 'PCT_5.0', 'PT_8', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.508	1.000	1.967
('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.508	1.000	1.967
('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.508	1.000	1.967
('PCT_5.0', 'P_2.0', 'PT_8', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.223	1.000	1.967
('PCT_5.0', 'P_2.0', 'PT_8', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.223	1.000	1.967
('PCT_5.0', 'PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.223	1.000	1.967
('PCT_5.0', 'PTD_otc alterations permit', 'P_2.0', 'ECT_5.0') ==> ('PT_8', 'ECTD_wood frame (5)')	0.223	1.000	1.967
('PTD_otc alterations permit', 'P_2.0', 'ECT_5.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.223	1.000	1.967
('PT_8', 'P_2.0', 'ECT_5.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.223	1.000	1.967
('PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8')	0.223	1.000	1.967
('P_2.0', 'PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.223	1.000	1.967
('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.284	1.000	1.967
('PCT_5.0', 'PT_8', 'P_0.0', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.284	1.000	1.967
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.284	1.000	1.967
('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0', 'P_0.0') ==> ('PT_8', 'ECTD_wood frame (5)')	0.284	1.000	1.967
('PCT_5.0', 'P_2.0', 'PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.223	1.000	1.967
('ECT_5.0', 'PCT_5.0', 'P_2.0', 'PT_8', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.223	1.000	1.967
('PCT_5.0', 'PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.223	1.000	1.967
('PCT_5.0', 'PTD_otc alterations permit', 'P_2.0', 'ECT_5.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.223	1.000	1.967
('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.284	1.000	1.967
('PT_8', 'PCT_5.0', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.284	1.000	1.967
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8')	0.284	1.000	1.967
('PT_8', 'PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.284	1.000	1.967
('PTD_otc alterations permit', 'ECT_5.0', 'P_0.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.999	1.967
('ECT_5.0', 'P_0.0', 'PT_8') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.999	1.967
('PTD_otc alterations permit', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	0.999	1.967
('P_0.0', 'ECTD_wood frame (5)', 'PT_8') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	0.999	1.967
('PT_8', 'ECTD_wood frame (5)', 'P_0.0') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.284	0.999	1.967
('PT_8', 'P_0.0', 'ECT_5.0') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.284	0.999	1.967
('PTD_otc alterations permit', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECT_5.0')	0.284	0.999	1.967
('PTD_otc alterations permit', 'ECT_5.0', 'P_0.0') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.284	0.999	1.967
('PTD_otc alterations permit', 'ECT_5.0', 'P_0.0') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.999	1.967
('ECT_5.0', 'P_0.0', 'PT_8') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.999	1.967
('PTD_otc alterations permit', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PT_8', 'PCT_5.0', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	0.999	1.967
('P_0.0', 'ECTD_wood frame (5)', 'PT_8') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	0.999	1.967
('ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.284	0.997	1.963
('PCT_5.0', 'ECT_5.0', 'P_0.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.997	1.963
('P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'ECT_5.0', 'PT_8')	0.284	0.997	1.963
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	0.997	1.963
('ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.284	0.997	1.963
('PCT_5.0', 'ECT_5.0', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.997	1.963
('P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.284	0.997	1.963
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	0.997	1.963
('ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.284	0.997	1.963
('PCT_5.0', 'ECT_5.0', 'P_0.0') ==> ('PTD_otc alterations permit', 'PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.997	1.963
('P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0', 'PT_8')	0.284	0.997	1.963
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PT_8', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	0.997	1.963
('P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.284	0.997	1.961
('ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.284	0.997	1.961
('PCT_5.0', 'ECT_5.0', 'P_0.0') ==> ('PT_8', 'ECTD_wood frame (5)')	0.284	0.997	1.961
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8')	0.284	0.997	1.961
('ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.284	0.997	1.961
('P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.284	0.997	1.961
('PCT_5.0', 'ECT_5.0', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.284	0.997	1.961
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.284	0.997	1.961
('PCT_5.0', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.284	0.997	1.961
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8')	0.284	0.997	1.961
('ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PT_8', 'ECTD_wood frame (5)')	0.284	0.997	1.961
('P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PT_8')	0.284	0.997	1.961
('PCT_5.0', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.284	0.997	1.961
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.284	0.997	1.961
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PT_8', 'ECT_5.0')	0.284	0.997	1.961
('PCT_5.0', 'ECT_5.0', 'P_0.0') ==> ('PTD_otc alterations permit', 'PT_8', 'ECTD_wood frame (5)')	0.284	0.997	1.961
('PCT_5.0', 'ECT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PT_8', 'ECTD_wood frame (5)')	0.284	0.997	1.961
('PCT_5.0', 'P_0.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PT_8')	0.284	0.997	1.961
('PT_8', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.284	0.995	1.959
('PCT_5.0', 'PT_8', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	0.995	1.959
('PTD_otc alterations permit', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECT_5.0')	0.284	0.995	1.959
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0') ==> ('ECT_5.0', 'PT_8', 'PCTD_wood frame (5)')	0.284	0.995	1.959
('PT_8', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECTD_wood frame (5)')	0.284	0.995	1.959
('PCT_5.0', 'PT_8', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.995	1.959
('PTD_otc alterations permit', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'PT_8', 'ECTD_wood frame (5)')	0.284	0.995	1.959
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.995	1.959
('PTD_otc alterations permit', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'ECT_5.0', 'ECTD_wood frame (5)', 'PT_8')	0.284	0.995	1.959
('PT_8', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0', 'ECTD_wood frame (5)')	0.284	0.995	1.959
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0') ==> ('PT_8', 'ECT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.995	1.959
('PCT_5.0', 'PT_8', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.284	0.995	1.959
('PT_8', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.284	0.995	1.957
('PTD_otc alterations permit', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.284	0.995	1.957
('PTD_otc alterations permit', 'P_0.0', 'PCTD_wood frame (5)') ==> ('ECT_5.0', 'PT_8')	0.284	0.995	1.957
('PT_8', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.284	0.995	1.957
('PCT_5.0', 'PT_8', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.284	0.995	1.957
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0') ==> ('PT_8', 'ECTD_wood frame (5)')	0.284	0.995	1.957
('PCT_5.0', 'PT_8', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.284	0.995	1.957
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0') ==> ('PT_8', 'ECT_5.0')	0.284	0.995	1.957
('PTD_otc alterations permit', 'P_0.0', 'PCTD_wood frame (5)') ==> ('ECT_5.0', 'ECTD_wood frame (5)', 'PT_8')	0.284	0.995	1.957
('PT_8', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'ECTD_wood frame (5)')	0.284	0.995	1.957
('PCT_5.0', 'PT_8', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0')	0.284	0.995	1.957
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECT_5.0')	0.284	0.995	1.957
('PCT_5.0', 'PT_8', 'P_0.0') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'ECTD_wood frame (5)')	0.284	0.995	1.957
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0') ==> ('PT_8', 'ECTD_wood frame (5)', 'ECT_5.0')	0.284	0.995	1.957
('PCT_5.0', 'PT_8', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECTD_wood frame (5)')	0.284	0.995	1.957
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PT_8', 'ECTD_wood frame (5)')	0.284	0.995	1.957
('PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'PCTD_wood frame (5)') ==> ('ECT_5.0', 'ECTD_wood frame (5)', 'PT_8')	0.284	0.995	1.957
('PCT_5.0', 'PT_8', 'P_0.0', 'PCTD_wood frame (5)') ==> ('PTD_otc alterations permit', 'ECT_5.0', 'ECTD_wood frame (5)')	0.284	0.995	1.957
('P_0.0', 'PCTD_wood frame (5)') ==> ('PCT_5.0', 'ECT_5.0', 'PT_8')	0.284	0.991	1.952
('PCT_5.0', 'P_0.0') ==> ('PT_8', 'ECT_5.0', 'PCTD_wood frame (5)')	0.284	0.991	1.952
